Name,Country,District,Latitude,Longitude,Language
Addalachchenai,LK,Ampara,6.8956,80.9135,en
Akkaraipattu,LK,Ampara,6.8956,80.9135,en
Ampara,LK,Ampara,6.8956,80.9135,en 
Galnewa,LK,Anuradhapura,6.8956,80.9135,en
Galenbindunuwewa,LK,Anuradhapura,6.8956,80.9135,en
Horowpothana,LK,Anuradhapura,6.8956,80.9135,en 
Badulla,LK,Badulla,6.8956,80.9135,en 
Bandarawela,LK,Badulla,6.8956,80.9135,en
Ella,LK,Badulla,6.8956,80.9135,en
Eravur Pattu,LK,Batticaloa,6.8956,80.9135,en
Kattankudy,LK,Batticaloa,6.8956,80.9135,en
Koralai Pattu,LK,Batticaloa,6.8956,80.9135,en
Colombo,LK,Colombo,6.8956,80.9135,en
Dehiwala,LK,Colombo,6.8956,80.9135,en
Homagama,LK,Colombo,6.8956,80.9135,en
Akmeemana,LK,Galle,6.8956,80.9135,en 
Ambalangoda,LK,Galle,6.8956,80.9135,en 
Baddegama,LK,Galle,6.8956,80.9135,en
Attanagalla,LK,Gampaha,6.8956,80.9135,en
Biyagama,LK,Gampaha,6.8956,80.9135,en
Divulapitiya,LK,Gampaha,6.8956,80.9135,en
Ambalantota,LK,Hambantota,6.8956,80.9135,en
Angunakolapelessa,LK,Hambantota,6.8956,80.9135,en
Beliatta,LK,Hambantota,6.8956,80.9135,en
Delft,LK,Jaffna,6.8956,80.9135,en
Jaffna,LK,Jaffna,6.8956,80.9135,en
Nallur,LK,Jaffna,6.8956,80.9135,en
Agalawatta,LK,Kalutara,6.8956,80.9135,en
Bandaragama,LK,Kalutara,6.8956,80.9135,en
Beruwala,LK,Kalutara,6.8956,80.9135,en
Akurana,LK,Kandy,6.8956,80.9135,en 
Delthota,LK,Kandy,6.8956,80.9135,en 
Doluwa,LK,Kandy,6.8956,80.9135,en
Aranayaka,LK,Kegalle,6.8956,80.9135,en
Bulathkohupitiya,LK,Kegalle,6.8956,80.9135,en
Dehiovita,LK,Kegalle,6.8956,80.9135,en
Kandavalai,LK,Kilinochchi,6.8956,80.9135,en
Karachchi,LK,Kilinochchi,6.8956,80.9135,en
Pachchilaipalli,LK,Kilinochchi,6.8956,80.9135,en
Alawwa,LK,Kurunegala,6.8956,80.9135,en
Ambanpola,LK,Kurunegala,6.8956,80.9135,en
Bamunakotuwa,LK,Kurunegala,6.8956,80.9135,en
Madhu,LK,Mannar,6.8956,80.9135,en
Mannar,LK,Mannar,6.8956,80.9135,en
Manthai West,LK,Mannar,6.8956,80.9135,en
Ambanganga Korale,LK,Matale,6.8956,80.9135,en
Dambulla,LK,Matale,6.8956,80.9135,en
Galewela,LK,Matale,6.8956,80.9135,en
Akuressa,LK,Matara,6.8956,80.9135,en
Athuraliya,LK,Matara,6.8956,80.9135,en
Devinuwara,LK,Matara,6.8956,80.9135,en
Badalkumbura,LK,Moneragala,6.8956,80.9135,en
Bibile,LK,Moneragala,6.8956,80.9135,en
Buttala,LK,Moneragala,6.8956,80.9135,en
Manthai East,LK,Mullaitivu,6.8956,80.9135,en
Maritimepattu,LK,Mullaitivu,6.8956,80.9135,en
Oddusuddan,LK,Mullaitivu,6.8956,80.9135,en
Ambagamuwa,LK,Nuwara Eliya,6.8956,80.9135,en
Hanguranketha,LK,Nuwara Eliya,6.8956,80.9135,en
Kothmale,LK,Nuwara Eliya,6.8956,80.9135,en
Dimbulagala,LK,Polonnaruwa,6.8956,80.9135,en
Elahera,LK,Polonnaruwa,6.8956,80.9135,en
Hingurakgoda,LK,Polonnaruwa,6.8956,80.9135,en
Anamaduwa,LK,Puttalam,6.8956,80.9135,en
Arachchikattuwa,LK,Puttalam,6.8956,80.9135,en
Chilaw,LK,Puttalam,6.8956,80.9135,en
Ayagama,LK,Ratnapura,6.8956,80.9135,en
Balangoda,LK,Ratnapura,6.8956,80.9135,en
Eheliyagoda,LK,Ratnapura,6.8956,80.9135,en
Gomarankadawala,LK,Trincomalee,6.8956,80.9135,en
Kantalai,LK,Trincomalee,6.8956,80.9135,en
Kinniya,LK,Trincomalee,6.8956,80.9135,en
Vavuniya,LK,Vavuniya,6.8956,80.9135,en
Vavuniya North,LK,Vavuniya,6.8956,80.9135,en
Vavuniya South,LK,Vavuniya,6.8956,80.9135,en
 

